,camptothecin (GDSC2:1003),vinblastine (GDSC2:1004),cisplatin (GDSC2:1005),cytarabine (GDSC2:1006),docetaxel (GDSC2:1007),gefitinib (GDSC2:1010),navitoclax (GDSC2:1011),vorinostat (GDSC2:1012),nilotinib (GDSC2:1013),olaparib (GDSC2:1017),axitinib (GDSC2:1021),AZD7762 (GDSC2:1022),afatinib (GDSC2:1032),PLX4720 (GDSC2:1036),KU-57788 (GDSC2:1038),doramapimod (GDSC2:1042),Wee1 Inhibitor (GDSC2:1046),nutlin-3 (GDSC2:1047),mirin (GDSC2:1048),PD-173074 (GDSC2:1049),ZM 447439 (GDSC2:1050),alisertib (GDSC2:1051),Ro-3306 (GDSC2:1052),MK-2206 (GDSC2:1053),palbociclib (GDSC2:1054),NVP-BEZ235 (GDSC2:1057),GDC-0941 (GDSC2:1058),AZD8055 (GDSC2:1059),PD-0325901 (GDSC2:1060),obatoclax (GDSC2:1068),5-fluorouracil (GDSC2:1073),dasatinib (GDSC2:1079),paclitaxel (GDSC2:1080),crizotinib (GDSC2:1083),WY-090217 (GDSC2:1084),sorafenib (GDSC2:1085),BI-2536 (GDSC2:1086),irinotecan (GDSC2:1088),oxaliplatin (GDSC2:1089),BMS-536924 (GDSC2:1091),PF-4708671 (GDSC2:1129),APR-246 (GDSC2:1131),erlotinib (GDSC2:1168),niraparib (GDSC2:1177),MK-1775 (GDSC2:1179),dinaciclib (GDSC2:1180),gemcitabine (GDSC2:1190),bortezomib (GDSC2:1191),GSK 269962A (GDSC2:1192),SB 505124 (GDSC2:1194),tamoxifen (GDSC2:1199),YK-4-279 (GDSC2:1239),FK-866 (GDSC2:1248),BMS-345541 (GDSC2:1249),AZ960 (GDSC2:1250),talazoparib (GDSC2:1259),trametinib (GDSC2:1372),dabrafenib (GDSC2:1373),temozolomide (GDSC2:1375),ruxolitinib (GDSC2:1507),linsitinib (GDSC2:1510),epirubicin (GDSC2:1511),pevonedistat (GDSC2:1529),AZD8931 (GDSC2:1549),uprosertib (GDSC2:1553),LCL161 (GDSC2:1557),lapatinib (GDSC2:1558),AUY922 (GDSC2:1559),alpelisib (GDSC2:1560),taselisib (GDSC2:1561),CS-1421 (GDSC2:1564),leflunomide (GDSC2:1578),entinostat (GDSC2:1593),OSI-027 (GDSC2:1594),LGK-974 (GDSC2:1598),VE-822 (GDSC2:1613),WZ4003 (GDSC2:1614),AZD5582 (GDSC2:1617),GSK2606414 (GDSC2:1618),PCI-34051 (GDSC2:1621),wnt-c59 (GDSC2:1622),I-BET-762 (GDSC2:1624),Apabetalone (GDSC2:1625),OTX015 (GDSC2:1626),ML323 (GDSC2:1629),GS-9973 (GDSC2:1630),PRT062607 (GDSC2:1631),AGI-6780 (GDSC2:1634),AZD4547 (GDSC2:1786),ibrutinib (GDSC2:1799),Oxyphenisatin acetate (GDSC2:1804),oxaliplatin (GDSC2:1806),carmustine (GDSC2:1807),topotecan (GDSC2:1808),teniposide (GDSC2:1809),mitoxantrone (GDSC2:1810),dactinomycin (GDSC2:1811),fludarabine (GDSC2:1813),nelarabine (GDSC2:1814),fulvestrant (GDSC2:1816),vincristine (GDSC2:1818),docetaxel (GDSC2:1819),Podophyllotoxin bromide (GDSC2:1825),Dihydrorotenone (GDSC2:1827),Elephantin (GDSC2:1835),Sinularin (GDSC2:1838),BI-97C1 (GDSC2:1849),OF-1 (GDSC2:1853),GTPL8020 (GDSC2:1855),BDP-00009066 (GDSC2:1866),buparlisib (GDSC2:1873),BVD-523 (GDSC2:1908),venetoclax (GDSC2:1909),ABT737 (GDSC2:1910),dactinomycin (GDSC2:1911),GSK2110183C (GDSC2:1912),AZD3759 (GDSC2:1915),AZD5363 (GDSC2:1916),AZD6738 (GDSC2:1917),AZD8186 (GDSC2:1918),osimertinib (GDSC2:1919),cediranib (GDSC2:1922),GDC 0068 (GDSC2:1924),GDC 0810 (GDSC2:1925),GNE317 (GDSC2:1926),I-BRD9 (GDSC2:1928),MST-312 (GDSC2:1930),MIRA-1 (GDSC2:1931),NVP-ADW742 (GDSC2:1932),P22077 (GDSC2:1933),savolitinib (GDSC2:1936),UMI-77 (GDSC2:1939),WIKI4 (GDSC2:1940),YM-155 (GDSC2:1941),MIM-1 (GDSC2:1996),WEHI-539 (GDSC2:1997),BPD-00008900 (GDSC2:1998),foretinib (GDSC2:2040),BIBR-1532 (GDSC2:2043),Pyridostatin (GDSC2:2044),AMG-319 (GDSC2:2045),SCH900776 (GDSC2:2046),BVD-523 (GDSC2:2047),vinorelbine (GDSC2:2048),VX-11e (GDSC2:2096),uprosertib (GDSC2:2106),AZ6102 (GDSC2:2109),GSK3203591 (GDSC2:2110),VE 821 (GDSC2:2111),AZD6482 (GDSC2:2169),AT13148 (GDSC2:2170),BMS-754807 (GDSC2:2171),JQ1-(+) (GDSC2:2172)
ACH-000295,-6.18517152,-5.806703424,,-2.586321769,-7.928429169,,-2.187467832,0.368583921,,,,-1.758768654,2.686475719,,,,0.213784,,5.297727967,,,-5.205737391,,,,,,,,-1.162146004,,,,-1.335592241,,2.144879233,,0.711498658,,3.103943355,,3.785961399,,,,-6.119746878,-4.252279853,-7.840236923,,,,,,2.042425637,-1.064175569,,,,,,,-3.964475734,-2.943813477,,,,,,,,,5.973810268,0.906969672,,,,,3.160912133,,,,1.852014382,,-0.299712074,,,,,,,,,,-2.837728881,-2.50182541,-1.717178284,,0.949399896,,,-4.858270155,,-2.204506392,,3.44844625,,0.536634742,,,2.529231931,2.595892804,,,-1.338665781,-7.289955718,,,,0.339619579,,,2.300305956,,,,,1.840347348,,3.215588295,,,2.498740779,,,,3.24968299,,-1.867232942,,,,0.590939524,,-5.141999876,,,3.044090502,,,,0.537226023,,
ACH-000298,,,,,,,,,,,,,3.256645537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.39968554,,,,,,,,,,,,,,,,,,,,,,,,,,,1.932562578,,,,,2.946416773,,,,,,,,,,,,,,,,,0.623315015,,,,,,-1.631723888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.938828463,,,,,,,,,,,,,,,
ACH-000301,-5.949896183,-6.925676029,,-2.78502282,,,0.512431855,0.583160583,-8.352153883,,,-2.69274954,1.963056516,,,,1.56905891,,,,,-0.289996845,,,,,,,-3.310963181,3.246587283,,,,-0.298659585,,1.798187968,,0.822221207,,2.654594758,,4.721746213,,,-1.366227175,-5.229099804,-6.136561722,-8.151016898,,,,1.237140399,-8.787780709,,0.326417722,,-5.775358095,1.621453863,,,,-0.963185214,-1.680414259,,,,,,,,-0.452283744,6.110743436,1.379490654,,,0.936204483,1.802460757,-1.487898203,2.650795086,,,0.901488235,,-0.928688538,,,1.87057744,,,1.70519546,,,,-0.963410132,-1.329309455,-0.641483347,,-3.085759422,,,-5.036363138,-5.757767148,-3.468225438,,2.096496418,,-2.240533709,,4.08642694,2.001255728,1.198543806,0.141146076,,1.525369441,-8.362074366,,,,0.709037645,,,1.737767305,,,2.126374453,3.252136967,0.012757502,,,,,,,-5.143280101,,0.287439573,,-2.778531901,,,,0.622126335,0.921966019,-5.398075235,0.24332054,,1.737140601,,2.936727583,,,,
ACH-000303,-6.747971043,-6.536657027,1.270519663,-0.201242029,,,,2.914033517,,,,-1.97766666,,,,,1.355096047,,6.066428363,,,,,,,,,,,1.902113107,2.411200548,,,-4.729237303,,,,0.47795652,,,,4.792912887,,,0.624371505,-5.101034549,-5.189753559,-6.665193553,,,,,,,,2.693190027,,,,,,-1.754439796,-0.243749676,,,,,-4.449346086,,,,,3.265718187,,,2.255961859,,3.179475964,,,,,,,,,,,,,,,,-2.032981398,-1.263813753,-1.700792949,,,,,-4.118703085,-5.851732334,-2.012505364,,,,-0.741876928,,,3.22858359,1.43567903,,,,-6.890744271,,,,0.519006054,,,,,,0.587483832,,0.425803501,,,,-7.155804653,,,-5.208995886,,,,-4.228806969,,,,1.616257887,,-5.065099835,,,,,,,,,
ACH-000304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.576702585,,,,,,,,,,,,4.775278357,,,,,,-6.998799258,,,,,,,,,,,,,,-0.655767083,,,,,,-4.731476145,,,,,3.129629316,,,,,3.195821029,,,,,,,,,,,,,,,,,,,,,,,,,,,4.259068144,,-1.580424601,,,,2.700416794,,,,,,,,,,,3.229534934,,,,,0.914177783,,,,,2.292092895,,-4.663554039,,,,2.816153571,,,,,,,,2.834063865,,,,,,,
ACH-000305,,-8.463729026,,,-9.47951963,,,1.650486736,,,,0.850288295,,,,,1.356263327,,5.722114621,,,,,,,,0.769528694,,,1.57525283,,,-7.976998844,,,3.118418568,,,,,,,0.307071907,,-0.312421345,-5.817493924,,-7.002854186,,,,0.752006329,,3.305138463,,,,,,,,,1.780018903,2.267641079,,,1.5341603,-6.36781693,,0.392476278,,,3.069256027,,,,,3.197058323,,,,,,,,,,,,1.669431568,-1.545493806,,,0.523773916,0.233655834,-1.863109254,,,,,-6.487466982,,-2.453955704,,,,-2.71449304,,,3.184582787,0.335662255,,,,-7.76504395,,,,,,-2.642359306,2.782623112,,,-0.327147953,,0.090818408,,,,,,,-3.003363234,,,,2.569462623,,,,,,-8.567460889,,2.466986368,2.299570102,,,,,,
ACH-000308,,,,,,,,,,,,1.21369035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.274354599,,,-5.672157863,,,,,-5.759589265,,,,,,,,,,,,,,,,,,,,,,,,,0.146255767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.735924089,,,,,2.508016742,,,,,,,-6.239880581,,,,,,,,,,,,,,,,,,,
ACH-000309,,,,,,,2.813070918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.807024872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19519556,,,,,,,,,,,,,1.80135116,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.301513659,,,,,,,,,,,,,,,,,,,
ACH-000311,,-9.838618037,,,-9.529115701,,2.428643173,1.391126032,,,,-1.210918267,2.090711568,,,,1.196797349,,5.157235662,,,-2.792122894,,2.913123036,,-3.631346804,0.790451748,,,-0.099837914,,,-7.149713104,,,2.498859215,,,,-1.173556307,,3.503242447,,,-0.597517991,-5.195501269,1.635394248,-5.800475566,,,,-0.273070728,,2.044627702,-0.189024618,,-4.540171703,,,,,,0.947257033,,,,,,,0.368763612,0.192700378,6.185241312,-1.127670468,,,0.173967932,,2.693034071,,,,,,2.737891197,,,2.068416627,,,,,,,-1.011502785,,-2.689672303,,-2.173841072,,,-5.224750846,,-3.024846805,,,,-3.096062808,,,1.897268023,0.251292843,1.655385449,,,-6.271006495,2.198232762,,2.453936248,0.353561502,,,3.223299994,2.831085935,,-1.03704583,,-0.821711748,,-0.084228392,,,3.009976266,,-2.145670839,,,,0.261600965,,,,,,-8.476913895,1.594371158,2.819822399,3.136929508,,,,,,
ACH-000315,-4.074411183,-5.472294417,,,,,1.958427252,1.707914975,,,,-1.218551384,2.813946295,,,,2.757812916,,6.4178632,,,,,1.872727274,,,,,,2.395314812,,,,,,2.949081272,,,,,,4.760252631,,,0.317044593,-5.210366856,,-8.10587466,,,,,-8.112876558,3.237985117,2.895222855,,,1.911280854,,,,-2.807817436,0.735434516,,,,2.129231811,-4.609114176,,,,6.499733682,2.490453889,,,,,0.497143629,,,,,,,,,1.959074525,,,,,,,-0.373818527,-0.910318586,-2.049061846,,,,,-5.114433902,,-1.095341095,,4.250383861,,-3.225866769,,,2.024880468,1.937092926,,,1.436889351,-7.898486558,2.798407908,,,,,,1.370223654,,,,,,,2.979833778,,,3.024692882,,,,,,2.72279789,,2.471259582,,,,-3.754752002,,3.125335839,3.232554897,,,,,,
ACH-000319,,,,,,,2.115298622,,,,,0.158137847,3.079569898,,,,,,,,,,,,,,,,,2.396828336,,,,,,,,,,2.720918411,,,,,,,,-5.765721679,,,,,,,1.845065551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.056375927,,-1.192448035,,4.144719482,,2.387119647,,,,3.30036217,,,,-6.588238068,,,,,,,,,,,,,,,,,,,-4.9502894,,,,1.081701971,,,,,,,,,,,,,,,
ACH-000320,-4.002226436,-5.340346679,1.682453199,0.561362622,,,,1.798693893,,,,0.795612459,3.130175992,,,,3.306560909,,6.547386791,,,,,,,,,,,1.246506405,,,,,,,,3.148905708,,3.16355805,,4.782799366,,,1.106676683,,-4.909589132,-6.488204995,,,,,-6.654414034,3.186989936,,,-3.480574877,,,,,-2.465500498,1.893626361,,,,,,,,0.138503532,,,,,,,3.116080915,,,,,,,,,,,,,,,,0.566673444,0.302255801,,,,,,-1.564796151,,-0.575593932,,4.048798651,,-1.121816218,,,2.946827666,,0.144564188,,,-7.411864858,,,,,,,,,,,,-1.416427664,,,,,3.033623615,,,,,,2.539674653,,,,,,-3.358332882,0.680792643,,,,,,,,
ACH-000322,,,,,,,,1.900237806,,,,2.678158464,2.167921951,1.499406917,,,2.999291692,,6.499607034,,,,,,,,2.26426316,,,-0.054205257,,,,,,2.575921191,,,,,,,,,,-4.988474087,,-7.49302371,,,,,,3.059542044,,,-6.907209557,-1.92103882,,,,-1.583430384,,,2.615838088,,3.197099852,-5.061683402,,3.071312797,-1.84689999,,2.456801261,,,,2.714345689,3.198937295,,,,,,,,,,,,,,,,-0.267630336,,0.479920165,,,,,-5.87400331,,-1.792682697,,,,-2.954267524,,,2.128644194,1.797669883,1.47193859,,,-6.999892645,,,,,,,3.02738128,,,,,,,3.026643407,,,2.112638375,,-4.151223859,,,,0.68754503,,3.24266047,,,0.529764163,-6.247652465,-0.474563939,0.615880234,1.549203135,,,,,,
ACH-000323,,-8.039681795,,,,,2.855606493,2.936387058,,,,-0.804622534,2.535302777,,,,,,6.176815421,,,,,,,-3.398949634,2.191016694,,,2.306412343,,-2.539723783,,,,,,3.138310613,,2.861525862,,,,,,-4.705340633,-4.842515966,-6.628647463,,,,,,3.30297414,2.402296816,,,,,,,-3.166579741,-0.263342605,,,,,,,,,,3.249520689,,,,,1.977283783,,,,,,,,,,,,,,,,0.00010803,1.465865519,,,,,,-2.453956137,,,,,,0.374506661,,,2.561973262,0.373487408,,,,-7.759050644,3.166392585,,,,,,1.848623797,,,-0.18356597,,0.090601313,,2.893872735,,,,,-6.53292765,,,,-0.176346783,,,,,,,,,2.895960295,,,,,,
ACH-000326,-6.339514576,,0.983330617,,-9.436743158,,-0.217077202,,,,,,1.588326549,,,,,,6.26889993,,,,,,,,,,-4.689515388,2.225732446,,,,-1.755074246,,,,0.876675289,3.28280048,,,4.45680549,,3.252006089,-2.306968083,-6.07498086,,,,,,,,3.086768578,-0.690676294,,-6.65826541,,,,,,,,,,,-7.291771257,,,-2.351251347,5.319222933,0.948342392,,,-2.898635093,,-3.478418216,2.458380623,,,,,,,,1.972445159,,,1.66502664,,,,-1.782800272,-1.105803298,-3.037844787,,-2.244484722,,,-6.37485143,-7.594748936,-2.786687401,,3.70679505,,-3.121188714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.297120822,,1.881851505,,-0.877978142,-0.608470446,-8.091427675,-1.823418487,,1.772370062,,-0.026267345,,,,
ACH-000327,,-7.911890376,,,,,,,,,,-0.589781945,,,,,2.543942826,,,,,,,,,,,,,,,,,,,,,,,3.145833656,,,,,1.827239391,-5.020955445,,-5.78926004,,,,,,,2.958971975,,,,,,,,,,,,,,,,,,,,,,,2.633907289,,,,,,,,,,,,,,,,,,,,,,,-4.728221925,-5.993127556,-1.882511371,,,,,,,3.19243441,3.002004573,,,,-4.942738833,,,,,,,,,,,,,,,,,,,-2.255179842,,,,2.706594589,,,,,,,,,,,,,,,
ACH-000330,,,,,,,,1.418598424,,,,,,,,3.303814088,3.131913821,,6.61057383,,,,,,,,,,,2.590629787,,,-5.565804561,,,,2.261642138,,,,,3.905496939,,,,,,-7.344701195,,,,1.852692834,-5.714073778,,,,,,,,,,,,,,,,,,,,,,,,,3.002570952,,,,,,,,,,,,,,,,,,,,,,,-3.104460675,-2.29703817,-0.359458987,,,,,,,,,,,,-4.103981459,,,,,,,,,,-0.750156643,,0.180657831,,,,,3.228733953,,-5.966233748,,,,2.921528152,,,,,,-5.830145267,,,,,,,,,
ACH-000332,,,,,,,,,,,,1.085825204,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.096541179,,,,,,,,-6.195831715,,,,,-6.999864629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.848672696,,,,,,,2.839467666,,,,,1.959686824,,,,,3.190459909,,-3.5005268,,,,2.468773332,,,,,,,,,,,,,,,
ACH-000334,,-8.663074745,,,-8.208949527,,-0.511695692,-0.701723937,,,,0.054736089,1.748116674,,,,1.425969322,,5.246444849,,,,,2.82015229,2.671063941,-6.244921368,,,,2.054238321,,,-8.051668354,,,1.651355209,,0.944962313,2.175117857,,,4.886748852,,,-0.730618706,-4.831358137,-6.650648309,-8.957548988,,,3.227108627,0.022522687,-8.40080625,3.260373751,,,,,,,,-2.512351448,0.896067785,,,,1.949532342,,,,,5.032044386,1.679925435,,,,,1.931812744,3.296524792,,,,,,,,,,,,,2.935050288,,-3.075319289,-0.329524363,-1.544370337,,,,,-6.616073473,-6.61803315,-3.379364398,,4.262894339,,-3.789684017,,3.026608763,1.670143788,0.630434989,,-4.923963811,-4.113888125,,2.231341261,,,,,,1.085600271,,,,,0.885380723,,2.356636051,,,3.208519129,,-6.407780428,,,,2.285958995,,,,,,-7.743233127,,,2.819841093,,,,,,
ACH-000335,,,,,,,-1.507315477,1.912179368,,,,-0.323521008,,,,,,,6.543699988,,,,,,,,,,,2.793907286,,,,,,,,,,2.599013615,,,,,,-4.28116096,,-5.706149882,,,,,-4.100986716,,,,,,,,,-1.302786207,,,,,,,,,,,2.154904875,,,,,,,,,,,,,,,,,,,,,,0.962182029,-0.4768568,,,,,,,,,,,-1.563651977,,,,,,,,-6.681525003,,,,,,,,,,,,-0.093067432,,,,,3.284170324,,-3.116203076,,,,1.820360754,,,,,,,,,,,,,,,
ACH-000336,-5.136190499,-9.609627163,,,-8.456619803,,2.930092349,0.797914505,,,,-1.02203032,2.21861199,,,,0.849825109,2.453450477,6.297610356,,,,,,,,,,-5.51959897,,2.236221603,,-6.977604667,,,1.858741216,,2.100228048,2.558224906,,,3.733031635,,,-0.371991836,-5.71043038,-7.178629942,-7.563862644,,,,1.083566163,-8.913022024,3.122659362,,,-7.732725713,,,,,-3.410791102,-2.617721989,,,,,-5.016342911,,,-2.38758299,,0.210437333,,,,,1.869547188,,,,-0.867061703,,-2.719297867,,,2.042510811,,,,,,,-2.043797652,-0.832740937,-3.085165669,,2.864716811,,,-7.630992799,-7.937605587,-3.395012636,,2.685935781,,-0.568408795,,,1.969610036,0.957630861,-0.018950492,,,-7.513463694,,,,1.977678824,,,1.973481573,,,,2.306434112,-0.414771948,,2.146164847,3.081821792,,3.135286754,,-5.778413694,,,,2.278377683,,,,,-0.648828627,-7.689581519,-0.403760588,,3.070912885,,,,,,
ACH-000337,-3.978659193,,,,-6.348967678,,,1.993069944,,,,0.435585978,3.151287766,,,,,,,,,,,,,,,,,,,,,,,,,,,1.839151193,,,,,0.587124106,,,,,,,,-3.522677071,,-1.404189302,,,,,,,-2.032498608,,,,,,,,,,,2.961552558,,,,,2.303952816,,,,,,,,,2.009319772,,,,,,,-1.174741343,,0.576230514,,,,,-3.731810022,-7.98852111,,,,,1.736738954,,,3.066186294,0.514116161,,,,-7.55000588,,,,,,,,,,,,,,,,,3.001009262,,-5.254076667,,,,1.517676146,,,,,,,,,,,,,,,
ACH-000338,,-9.003189994,1.211755312,-1.766465737,,,,-0.658540922,,,,-3.404875881,,,,,-0.061197969,-0.075614504,5.214174309,,,-5.180740951,,,0.741549702,-5.414211127,,,,-1.441037469,2.839365972,,-6.760951431,-3.422916417,,2.513694639,,,0.993743629,-0.302218182,,3.537705931,,1.74670903,,-6.209450664,,-7.870995731,,,2.305531749,-0.301386453,-5.647431137,1.68795191,-2.176654826,,,,4.797166845,,,-5.355410206,-2.761439344,,,,1.72329562,-6.791691884,,3.201137251,,3.530573614,1.187441608,,,,1.855561234,0.168492385,1.802967669,,,,,0.513637659,3.051628988,,1.741224781,,,,,1.855522628,,-4.937776318,-6.217039453,-5.177420673,-9.160977739,,,,,,,,2.916865863,,-2.322778616,,,0.331471559,-0.455619743,1.918008596,,0.597502728,,,,2.940856989,-1.196130382,,-0.519786312,2.162773836,,,1.375450176,1.921168672,-1.795552218,,2.331715332,,,1.984693598,,-5.471967352,2.637086302,,,-0.436576967,,2.061509938,,-1.064588161,0.921072991,-9.463684029,,,2.118605948,,,,,,
ACH-000341,,-5.063773186,,,,,3.274761349,1.59189011,,,,-0.098455872,2.569038726,,,,-2.65445036,,,,,,,,,,,,,,,,,,,3.262487229,,,,,,,,,,,,-6.904256643,,,,1.7302986,-6.674087453,,,,,,,,,,,,,,,-4.325817752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796479511,,,,-3.49001054,,,,,,,2.720191393,,,,,-0.500268937,,,,,3.279133571,,3.300774638,,,,1.179514056,,,,,,,,,3.294079275,,,,,,
ACH-000343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.561519091,-5.466599972,,-5.968076624,,,,,-8.650845546,,,,,,,,,,,,,,,,,,,,3.094083762,,,,,2.405673784,,,,,,,,,,,,,,,,,,,,,,,-6.626181866,-6.329344406,-3.369970849,,,,0.500144074,,,,,,,,-5.56430519,,,,,,,,,,,,,,,,,,,-4.392550588,,,,,,,,,,,,,,,,,,,
ACH-000346,,-9.599806959,0.237772404,-2.289365906,-9.819107983,,,0.154245211,,,,-3.598611654,0.878046655,2.204884265,,,-1.306236793,-0.224215395,4.708001339,,,-5.231770863,,,1.472475042,-5.206798094,2.413775834,,,0.124302909,1.756057996,,-8.011200568,,,1.928335001,,-0.536970813,1.764721846,1.71522409,,3.575745311,,2.180785914,-2.984369566,-5.691483198,-7.922514103,-7.776771896,,,,-1.08806553,-7.581221111,3.246855666,-2.079641338,-0.033633347,,,3.00405014,,,-5.273246004,-3.07923635,,,,1.82842192,,,,,5.247507861,0.3038615,,,,,0.790762178,,2.217107788,,2.58903951,,,,,0.797306312,2.645009563,,,,3.48045954,,-3.693827649,-4.626222221,-2.66438283,-6.651639356,3.956550212,,,-7.887021822,,-3.540091326,,2.790918312,,-2.668030967,,3.988126257,0.849376934,-0.415710563,1.501662074,,2.050214797,,2.062828505,,,0.582002627,,,2.436587872,,,-2.207439787,1.861116754,-1.379724229,,,,,2.014940415,,,3.158652101,,,-1.380273677,,2.082303953,,-0.539353129,,-9.411595012,,,1.797817072,,3.088353791,,1.029850664,,
ACH-000347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.292059984,,,,,,,,,,,,,,,,-4.861610339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.731403485,,,,,,,,,,,,,,,,,,,,0.505870211,,,,,,,,,-2.55249594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000348,-5.240003394,-8.354933976,2.057000502,,-7.716031139,,2.243058649,1.670267191,,,,-0.780454948,3.183507613,,,,1.815299757,,,,,,,,,-4.257583514,1.266396119,,,1.886255677,,,,,,3.248039043,,,,2.458271301,,3.445801105,,,-0.672281991,-5.487180527,-3.751082894,-7.655531366,,,,1.405714958,,,1.959816198,,,,,,,-3.181538639,0.998741005,,,,3.189531789,-6.192998409,,,,,2.974571718,,,,,3.000461624,,,,,,,,,2.518093929,,,,,,,-1.630589798,-2.813911795,-2.313581503,,3.979098928,,,-5.634375728,-6.612465651,-2.777057204,,2.941840709,,-0.998049677,,,1.810849107,0.877054597,,,,-8.075578028,3.178790002,,,1.075763663,,,3.221216136,,,-0.295093397,,-0.32125249,,2.588091414,2.781787633,,,,,,,,1.357023727,,,,,,-7.642225137,,3.054997677,2.941997781,,,,2.474237796,,
ACH-000349,,,,,,,-2.691921774,2.523976627,,,,,,,,,,,,,,,,,,,,,,2.176084706,,,,,,2.894885622,2.619552076,,,,,,,,,,,,,,,,,,,,,,,,,-0.327613269,,,,,,,,,,,1.413067983,,,,3.268891466,2.238037929,,,,,,,,,3.200364704,,,,-1.431815982,,,0.436510588,,,,,,,-1.474714688,,,,,,-1.316871391,,,,,,-4.367779367,-3.400837109,-6.27971105,,,,,,,2.421998127,,,,,1.80908492,,2.581893844,,,,,-0.82915485,,,,,,,,,,,,,2.833473338,,,,,,
ACH-000350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.315880491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.135815973,,,,,,,,,,,,-2.488403365,,,,2.564444483,,,,,,,,,3.251049459,,,,,,
ACH-000351,,,,,,,3.058111638,2.97150506,,,,-1.09085164,2.531695179,,,,,,5.602563021,,,,,,,,,,,,,,,,,,,,,3.276635088,,4.563380133,,,0.206760516,,2.991586764,-7.65756491,,,,,-5.486650541,,,,,,,,,-2.292356841,,,,,,,,,,,,,,,,2.695274451,,,,,,,,,,,,,,,,,-1.112598597,1.098728318,,,,,1.523370615,,,,3.274875238,,-0.217083293,,,,2.291621296,,,,,,,,,,,2.630384303,,,,,,,,,,2.671436012,,,,,,2.26830053,,,,,,,,,3.120302462,,,,,,
ACH-000352,,,,,,,,,2.311989895,,,,,,,,,,,,,,3.2000696,,,,,,,1.952119719,,,,3.19441543,,,2.204118573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.218659963,,,,,,1.185250316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.235670331,,,,,,,2.680815043,,,,,,,,3.291687736,,,,,,,2.654415562,,,,,-5.861735978,,,,3.04614131,,,,,,,,,,,,,,,
ACH-000353,,,,,,,,,,,,,,,,,,,4.848392,,,,,,,,,,,0.50087267,,,,,,,,0.96349763,,,,,,,0.003779224,-4.981920359,-3.432541551,,,,,,-8.376929608,3.241053002,,,,,,,,,,0.796273036,,,,-6.404463497,,,,,,,,,,,,,,,,,,,,,,,,,,-4.069852507,-0.682744751,1.232251711,,,,,-5.357347944,,-3.343882354,,,,-0.758837291,,3.085986098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.842566894,,3.008043468,,,,-6.203944665,,,,,,,,,
ACH-000354,,,,,,,3.049115895,,,,,1.03786255,3.299493951,,,,,,6.632611643,,,,,,,,,,,,,,,,,,,2.826569348,,,,4.196494674,,,,,,-6.238908613,,,,,-6.039490827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.948256178,1.576230535,,,,,,,,,,,,3.228155762,,,3.313936076,,,,,-6.809122321,,,,,,,2.351257323,,,,,,,,,,,,-4.418592549,,,,2.501916851,,,,,,,,,,,,,,,
