,camptothecin (GDSC2:1003),vinblastine (GDSC2:1004),cisplatin (GDSC2:1005),cytarabine (GDSC2:1006),docetaxel (GDSC2:1007),gefitinib (GDSC2:1010),navitoclax (GDSC2:1011),vorinostat (GDSC2:1012),nilotinib (GDSC2:1013),olaparib (GDSC2:1017),axitinib (GDSC2:1021),AZD7762 (GDSC2:1022),afatinib (GDSC2:1032),PLX4720 (GDSC2:1036),KU-57788 (GDSC2:1038),doramapimod (GDSC2:1042),Wee1 Inhibitor (GDSC2:1046),nutlin-3 (GDSC2:1047),mirin (GDSC2:1048),PD-173074 (GDSC2:1049),ZM 447439 (GDSC2:1050),alisertib (GDSC2:1051),Ro-3306 (GDSC2:1052),MK-2206 (GDSC2:1053),palbociclib (GDSC2:1054),NVP-BEZ235 (GDSC2:1057),GDC-0941 (GDSC2:1058),AZD8055 (GDSC2:1059),PD-0325901 (GDSC2:1060),obatoclax (GDSC2:1068),5-fluorouracil (GDSC2:1073),dasatinib (GDSC2:1079),paclitaxel (GDSC2:1080),crizotinib (GDSC2:1083),WY-090217 (GDSC2:1084),sorafenib (GDSC2:1085),BI-2536 (GDSC2:1086),irinotecan (GDSC2:1088),oxaliplatin (GDSC2:1089),BMS-536924 (GDSC2:1091),PF-4708671 (GDSC2:1129),APR-246 (GDSC2:1131),erlotinib (GDSC2:1168),niraparib (GDSC2:1177),MK-1775 (GDSC2:1179),dinaciclib (GDSC2:1180),gemcitabine (GDSC2:1190),bortezomib (GDSC2:1191),GSK 269962A (GDSC2:1192),SB 505124 (GDSC2:1194),tamoxifen (GDSC2:1199),YK-4-279 (GDSC2:1239),FK-866 (GDSC2:1248),BMS-345541 (GDSC2:1249),AZ960 (GDSC2:1250),talazoparib (GDSC2:1259),trametinib (GDSC2:1372),dabrafenib (GDSC2:1373),temozolomide (GDSC2:1375),ruxolitinib (GDSC2:1507),linsitinib (GDSC2:1510),epirubicin (GDSC2:1511),pevonedistat (GDSC2:1529),AZD8931 (GDSC2:1549),uprosertib (GDSC2:1553),LCL161 (GDSC2:1557),lapatinib (GDSC2:1558),AUY922 (GDSC2:1559),alpelisib (GDSC2:1560),taselisib (GDSC2:1561),CS-1421 (GDSC2:1564),leflunomide (GDSC2:1578),entinostat (GDSC2:1593),OSI-027 (GDSC2:1594),LGK-974 (GDSC2:1598),VE-822 (GDSC2:1613),WZ4003 (GDSC2:1614),AZD5582 (GDSC2:1617),GSK2606414 (GDSC2:1618),PCI-34051 (GDSC2:1621),wnt-c59 (GDSC2:1622),I-BET-762 (GDSC2:1624),Apabetalone (GDSC2:1625),OTX015 (GDSC2:1626),ML323 (GDSC2:1629),GS-9973 (GDSC2:1630),PRT062607 (GDSC2:1631),AGI-6780 (GDSC2:1634),AZD4547 (GDSC2:1786),ibrutinib (GDSC2:1799),Oxyphenisatin acetate (GDSC2:1804),oxaliplatin (GDSC2:1806),carmustine (GDSC2:1807),topotecan (GDSC2:1808),teniposide (GDSC2:1809),mitoxantrone (GDSC2:1810),dactinomycin (GDSC2:1811),fludarabine (GDSC2:1813),nelarabine (GDSC2:1814),fulvestrant (GDSC2:1816),vincristine (GDSC2:1818),docetaxel (GDSC2:1819),Podophyllotoxin bromide (GDSC2:1825),Dihydrorotenone (GDSC2:1827),Elephantin (GDSC2:1835),Sinularin (GDSC2:1838),BI-97C1 (GDSC2:1849),OF-1 (GDSC2:1853),GTPL8020 (GDSC2:1855),BDP-00009066 (GDSC2:1866),buparlisib (GDSC2:1873),BVD-523 (GDSC2:1908),venetoclax (GDSC2:1909),ABT737 (GDSC2:1910),dactinomycin (GDSC2:1911),GSK2110183C (GDSC2:1912),AZD3759 (GDSC2:1915),AZD5363 (GDSC2:1916),AZD6738 (GDSC2:1917),AZD8186 (GDSC2:1918),osimertinib (GDSC2:1919),cediranib (GDSC2:1922),GDC 0068 (GDSC2:1924),GDC 0810 (GDSC2:1925),GNE317 (GDSC2:1926),I-BRD9 (GDSC2:1928),MST-312 (GDSC2:1930),MIRA-1 (GDSC2:1931),NVP-ADW742 (GDSC2:1932),P22077 (GDSC2:1933),savolitinib (GDSC2:1936),UMI-77 (GDSC2:1939),WIKI4 (GDSC2:1940),YM-155 (GDSC2:1941),MIM-1 (GDSC2:1996),WEHI-539 (GDSC2:1997),BPD-00008900 (GDSC2:1998),foretinib (GDSC2:2040),BIBR-1532 (GDSC2:2043),Pyridostatin (GDSC2:2044),AMG-319 (GDSC2:2045),SCH900776 (GDSC2:2046),BVD-523 (GDSC2:2047),vinorelbine (GDSC2:2048),VX-11e (GDSC2:2096),uprosertib (GDSC2:2106),AZ6102 (GDSC2:2109),GSK3203591 (GDSC2:2110),VE 821 (GDSC2:2111),AZD6482 (GDSC2:2169),AT13148 (GDSC2:2170),BMS-754807 (GDSC2:2171),JQ1-(+) (GDSC2:2172)
ACH-000020,-6.803659985,-6.942371215,1.47832936,-1.4277682,,,,0.031343166,,2.801733598,,-0.441238674,2.700471742,,,,2.288066615,,5.660206561,,,,,,,,,,,2.104964929,,,,,,2.440400401,,,0.640236433,,,3.594607417,,2.120647745,-0.224216592,-5.94412968,-4.135062976,-7.723095836,,,2.7082168,2.023053569,,3.055149376,,0.438249839,,,,,,-3.579997377,-0.827318343,,,,,,,,,,-0.646519351,,,-0.480721873,2.37600904,1.480076833,3.207373478,1.433127913,,1.185634592,,0.733923293,,,1.996530639,,,,,1.9799346,,-5.014963482,-2.817145691,-5.219904959,,0.934312577,,,-5.91081753,-4.074232655,-1.745815584,,2.879519506,,-4.220672025,,4.130326422,3.204170812,0.804522678,,-8.158202602,-5.919763093,-8.777200044,,,,0.944638581,,,,,,3.296582293,,0.026255498,3.120275623,2.39753571,2.244442689,,2.802533365,,,1.882961176,,,1.102664399,,,,,,-6.917590289,,,,,,,,,
ACH-000021,,,,,,,,3.045855796,,,,1.869750967,2.609952018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.768537389,,,,,,-8.114287034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.477061491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.147693246,,,,3.075411205,,,,-6.663856037,,,,,,,1.922258262,,,,,1.027332987,,3.025203765,,,2.039265914,,,,,,3.17738004,,,,,,,,,2.59671655,,,,,,
ACH-000023,,-6.817329389,,,,,,,,,,1.492253834,3.021863736,,,,1.883520183,,,,,,,,,,,,,,,,,,,3.311777559,,,,2.783054479,,,,,-0.478395925,-5.789020592,,-7.181234345,,,,,,,,,,,,,,-0.938055153,-0.207869005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.708549082,0.98687812,,,,,-1.962864528,-4.723328425,-1.422870482,,,,0.339251297,,,2.063931375,2.477418091,,,,-6.966682337,,,,,,,3.26856356,,,1.204707189,,-0.165768711,,,,,2.893942885,,,,,,2.404340279,,,,,,-4.220363009,,,3.271813356,,,,3.295922031,,
ACH-000024,,-8.208385743,,,,,3.192011139,0.309885611,,,,-1.520553744,3.266567126,,,,1.181715536,,6.631063433,-1.02466356,,,,2.400667127,,-4.859208908,1.89329435,,,2.090244402,,,,,,,,,,-0.506531415,,3.229941245,,,-0.257163457,-5.322811812,,-8.053679762,,,,2.105500541,-6.68956665,3.116807053,0.497844118,,,,,,2.854715936,-1.392509678,0.077118708,,1.737072381,,,-5.140003369,,1.089465298,,,0.739792556,,,1.173055372,,3.217369879,,,,0.298270576,,-1.591227753,,,2.103916961,,-1.649262006,,,,,,0.792598561,,,,,,-6.01945526,-5.945178504,-2.550251547,,3.245833908,,-1.248638567,,,2.943410172,1.050696347,,,,-8.116599343,0.7054216,,1.974277968,1.524331581,,,0.527843075,2.538487113,,,2.879505725,1.466730228,,2.032956668,,,,,-4.287010579,,,,0.272428882,,,,1.751204963,0.825415029,-7.282258872,,0.821009771,3.144367857,,,,,,
ACH-000030,,-7.631534318,,,,,,1.973338137,,,,,,,,,2.19165786,,,,,,,,,,,,,2.084611118,,,,,,,,,,2.543829955,,,,,,,,-6.665133128,,,,,,,,,,,,,,,,1.637518175,,,1.79334742,,,,,,,,,,,,,,,,,,,,2.998818425,,,,,,,,,,,,,,-4.639865987,-6.685294271,,,,,,,,,,,,,,,,,,,,1.713375371,,,1.835760676,,,,,,,,,-5.077003499,,,,1.719543941,,,,,,,,,,,,,,,
ACH-000035,,,,,,,,,,,,0.664892404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.071252861,,,,,,,,,,,,,,-1.618827521,2.601142391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.815713927,,,,,,,2.94699862,,,,,,,,,,,,-5.876415256,,,,2.398878412,,,,,,,,,,,,,,,
ACH-000040,,,,,,,0.545842704,,,,,2.062437838,,,,,,,,,,,,,,,,,,1.82181805,,,,,,2.355146172,,,,,,4.592668123,,,,,,-8.134498391,,,,,,,,,,,,,,,0.931434038,,,,,-5.194610504,,,,,,,,,,,,,,,,,,,,,,,,,,-2.731511088,,,,-0.610487573,,,0.57779378,,,,3.913557726,,0.38930722,,,,0.642156454,,,1.705242152,-7.021386397,3.10089195,,,,,,3.070378508,,,1.580036163,,-0.779564536,,3.230170977,,,,,-5.602459094,,,,2.092556613,,,,,,,,,,,,,,,
ACH-000042,,,,,,,,1.943620442,,,,0.932763729,,,,,,,6.315482985,,,,,,,,,,,3.280004489,,,,,,,,,,3.225220276,,,,,,-4.478766214,,-7.117832547,,,,,-6.430193677,,,,-3.572727582,,,,,,2.714164434,,,,,,,,1.109910922,,,,,,,,,,,,,3.216403437,,,3.159276454,,,,,,,0.345627045,,,,,,,,,,,3.861326737,,0.823170146,,,2.14276818,,,,,-5.078670118,,,,,,,2.817887593,,,2.151393624,,1.351277379,,3.205947836,,,2.046281295,,-3.561140083,,,,1.417292382,,,,,,,,,,,,,,,
ACH-000045,-7.712251989,-9.478177182,-0.047533418,-0.131705662,-8.787489895,,,-0.260048357,,2.767480377,,,0.256584837,2.548470211,,,0.196475634,-0.192676605,3.000172495,,,-5.412551401,,2.973489996,-0.08112972,-4.706188589,0.774530248,,-3.106955418,0.097452591,-0.608134819,,-8.26750871,,,,,-1.056493351,-0.084075974,-2.281896981,,1.773106542,,1.342497741,-1.366995532,,-7.755217566,-8.313424675,,,2.162860568,0.373034405,,1.885627299,-1.251417522,-0.533876795,-4.692308531,2.281030542,,,,-5.383578463,-3.904224852,,,,3.146739656,,,3.176142232,-0.207854477,5.717259662,,,1.843655914,,,,,,,,,,,,,,-0.031710895,,,,,,,,,,,,,,,,,,,,,2.168632406,0.370843789,1.651488134,-8.699859757,-6.367674707,,,,2.715866785,-0.255710702,,-0.024440748,2.766574958,,,-0.867347806,2.28667343,-2.668603928,,0.787743546,2.121261944,,2.844323845,,-3.461597796,,,2.741853532,,0.077257215,1.974507429,2.833102909,-0.195829709,-0.80930266,,,,,,,,,,
ACH-000046,-5.893121396,,,-1.352132373,,,3.217285232,1.713029776,,,,-3.443024387,2.416658086,,,,-1.043848299,,,,,,,,,-4.712169038,,,,,,,,,,2.809122857,,2.160120371,,,,4.851048675,,,-3.205832449,-5.514158361,-6.316646282,-7.340574697,,,,,-6.516787992,3.319114579,,,,,,,,-3.530040674,-0.212205966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.730151211,-2.309337607,-1.340294661,,,,,,,,,4.140539271,,-1.76680556,,,1.90915704,1.449059352,,,,-7.121603172,,,,0.559808256,,,2.15212707,,,-0.439359855,,0.284723643,,,,,,,-4.908680481,,,,0.934635797,,,,-0.359502786,,,,,1.971293546,,,,,,
